Unnamed: 0,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
66583,26788,WARQ,small_airport,Adisumarmo International Airport,-7.513564,110.750494,421.0,AS,ID,ID-JT,Sukarata(Solo)-Java Island,yes,WAHQ,SOC,,,https://en.wikipedia.org/wiki/Adisumarmo_International_Airport,"WRSQ, WARQ"
38194,309481,LHGR,small_airport,Gyúró Airport,47.3914,18.75786,640.0,EU,HU,HU-FE,Gyúró,no,LHGR,,,,http://hu.wikipedia.org/wiki/Gy%C3%BAr%C3%B3i_rep%C3%BCl%C5%91t%C3%A9r,
18740,1692,CYCN,medium_airport,Cochrane Airport,49.10559844970703,-81.01360321044922,861.0,,CA,CA-ON,Cochrane,no,CYCN,YCN,,,https://en.wikipedia.org/wiki/Cochrane_Airport,
45411,5202,OITP,small_airport,Parsabad-Moghan Airport,39.6036,47.8815,251.0,AS,IR,IR-24,Parsabad,yes,OITP,PFQ,,,https://en.wikipedia.org/wiki/Parsabad-Moghan_Airport,
65106,32154,UUYP,medium_airport,Pechora Airport,65.12110137939453,57.13079833984375,98.0,EU,RU,RU-KO,Pechora,yes,UUYP,PEX,,,https://en.wikipedia.org/wiki/Pechora_Airport,
18909,1851,CYPN,medium_airport,Port Menier Airport,49.83639907836914,-64.2885971069336,167.0,,CA,CA-QC,Port-Menier,no,CYPN,YPN,,,https://en.wikipedia.org/wiki/Port-Menier_Airport,
34159,20127,KI34,small_airport,Greensburg Municipal Airport,39.32690048,-85.52249908,912.0,,US,US-IN,Greensburg,no,KI34,,I34,,https://en.wikipedia.org/wiki/Greensburg-Decatur_County_Airport,
38321,4346,LIMN,medium_airport,Cameri Air Base [MIL],45.529598,8.66922,586.0,EU,IT,IT-21,Cameri (NO),no,LIMN,,NO08,http://web.archive.org/web/20070617100034/www.aeronautica.difesa.it/CSA/CBR/53Stormo/Cennistorici.asp,http://it.wikipedia.org/wiki/Aeroporto_di_Cameri,Silvio E Natale Palli
48345,5737,RPVF,medium_airport,Catarman National Airport,12.502400398254396,124.63600158691406,6.0,AS,PH,PH-NSA,Catarman,yes,RPVF,CRM,,,https://en.wikipedia.org/wiki/Catarman_National_Airport,
21057,29112,EGBS,small_airport,Shobdon Aerodrome,52.2416992188,-2.88110995293,318.0,EU,GB,GB-ENG,Shobdon,no,EGBS,,,http://www.aeroclub.co.uk/,https://en.wikipedia.org/wiki/Shobdon_Aerodrome,Herefordshire Aero Club
18447,1603,CTK2,small_airport,Senneterre Airport,48.340599060058594,-77.18109893798828,1106.0,,CA,CA-QC,Senneterre,no,CTK2,,CTK2,,https://en.wikipedia.org/wiki/Senneterre_Airport,TK2
49727,5969,SBSC,medium_airport,Santa Cruz Air Force Base,-22.9324,-43.719101,10.0,SA,BR,BR-RJ,Rio de Janeiro,no,SBSC,SNZ,RJ9003,,https://en.wikipedia.org/wiki/Santa_Cruz_Air_Force_Base,"Santa Cruz AB, Bartolomeu de Gusmão Airport"
33804,3542,KFSI,medium_airport,Henry Post Army Air Field (Fort Sill),34.64979935,-98.40219879,1189.0,,US,US-OK,Fort Sill,no,KFSI,FSI,FSI,http://sill-www.army.mil/History/Airfield/henrypost.htm,https://en.wikipedia.org/wiki/Henry_Post_Army_Airfield,
21443,2542,EKCH,large_airport,Copenhagen Kastrup Airport,55.617900848389,12.656000137329,17.0,EU,DK,DK-84,Copenhagen,yes,EKCH,CPH,,http://www.cph.dk/en/,https://en.wikipedia.org/wiki/Copenhagen_Airport,"København, Malmö"
34098,20080,KHRJ,small_airport,Harnett Regional Jetport Airport,35.379398,-78.733002,202.0,,US,US-NC,Erwin,no,KHRJ,,HRJ,http://www.harnett.org/airport/,https://en.wikipedia.org/wiki/Harnett_County_Airport,"37W, Harnett County Airport"
66008,26597,VNNG,medium_airport,Nepalgunj Airport,28.103599548339844,81.66699981689453,540.0,AS,NP,NP-BH,Nepalgunj,yes,VNNG,KEP,,,https://en.wikipedia.org/wiki/Nepalgunj_Airport,
66869,26864,WMBT,medium_airport,Pulau Tioman Airport,2.81818,104.160004,15.0,AS,MY,MY-06,Kampung Tekek,yes,WMBT,TOD,,,https://en.wikipedia.org/wiki/Tioman_Airport,Kampung Tekek
33658,19779,KEVB,small_airport,New Smyrna Beach Municipal Airport,29.055700302124023,-80.94889831542969,10.0,,US,US-FL,New Smyrna Beach,no,KEVB,,EVB,,https://en.wikipedia.org/wiki/New_Smyrna_Beach_Municipal_Airport,
65779,26517,VEPT,medium_airport,Lok Nayak Jayaprakash Airport,25.591299057,85.0879974365,170.0,AS,IN,IN-BR,Patna,yes,VEPT,PAT,,http://airportsindia.org.in/allAirports/patna_techinfo.jsp,https://en.wikipedia.org/wiki/Lok_Nayak_Jayaprakash_Airport,
46918,335883,PHIK,medium_airport,Hickam Air Force Base,21.335278,-157.948333,13.0,,US,US-HI,Honolulu,no,PHIK,HIK,HIK,https://www.hickam.af.mil,https://en.wikipedia.org/wiki/Hickam_Air_Force_Base,
31832,18442,K19S,small_airport,Sublette Municipal Airport,37.497018,-100.834343,2908.0,,US,US-KS,Sublette,no,,,19S,,https://en.wikipedia.org/wiki/Sublette_Municipal_Airport,"65K, Sublette Flying Club"
24862,307969,GB-0138,closed,RAF Brenzett,51.014444,0.879167,5.0,EU,GB,GB-ENG,Kent,no,,,,,https://en.wikipedia.org/wiki/RAF_Brenzett,
46566,326011,PH-0104,heliport,Poon Coto Heliport,15.562515,120.097468,,AS,PH,PH-ZMB,Masinloc,no,,,,,https://en.wikipedia.org/wiki/List_of_airports_in_the_Philippines,"Poon Coto, Masinloc"
39154,4554,LTCH,medium_airport,Şanlıurfa Airport,37.09429931640625,38.84709930419922,1483.0,AS,TR,TR-63,Şanlıurfa,yes,LTCH,SFQ,,,https://en.wikipedia.org/wiki/%C5%9Eanl%C4%B1urfa_Airport,
66090,26637,VRMT,medium_airport,Kaadedhdhoo Airport,0.4881309866905212,72.99690246582031,2.0,AS,MV,MV-28,Huvadhu Atoll,yes,VRMT,KDM,,,https://en.wikipedia.org/wiki/Kaadedhdhoo_Domestic_Airport,
44993,5079,OBBI,large_airport,Bahrain International Airport,26.267295,50.63764,6.0,AS,BH,BH-15,Manama,yes,OBBI,BAH,,http://www.bahrainairport.com/,https://en.wikipedia.org/wiki/Bahrain_International_Airport,مطار البحرين الدولي
67945,317168,YCVA,small_airport,Clare Valley Aerodrome,-33.710837,138.587367,1120.0,OC,AU,AU-SA,Clare,no,YCVA,,,http://www.clarevalleyaerodrome.com.au,https://en.wikipedia.org/wiki/Clare_Valley_Aerodrome,
69240,27184,YWYY,medium_airport,Wynyard Airport,-40.9989013671875,145.7310028076172,62.0,OC,AU,AU-TAS,Burnie,yes,YWYY,BWT,,,https://en.wikipedia.org/wiki/Burnie_Airport,
21240,29184,EGSK,closed,RAF Hethel,52.562801361083984,1.1733299493789673,,EU,GB,GB-ENG,Hethel,no,EGSK,,,,https://en.wikipedia.org/wiki/RAF_Hethel,
39099,4511,LTAE,medium_airport,Akıncı Air Base,40.0788993835,32.5656013489,2767.0,AS,TR,TR-06,Ankara,no,LTAE,,,,https://en.wikipedia.org/wiki/Ak%C4%B1nc%C4%B1_Air_Base,"Akinci, Mürted, Murted"
56116,533,SWFJ,closed,Alcimar Leitão Airport,-8.16558,-70.352997,394.0,SA,BR,BR-AC,Feijó,no,,,,,https://en.wikipedia.org/wiki/Old_Feij%C3%B3_Airport,"SWFJ, FEJ, Feijó Airport"
22916,32036,FCBY,small_airport,Yokangassi Airport,-4.223077,13.286347,541.0,AF,CG,CG-11,Nkayi,no,FCBY,NKY,,,https://en.wikipedia.org/wiki/Yokangassi_Airport,
45721,32145,OPPC,small_airport,Parachinar Airport,33.902099609400004,70.0716018677,5800.0,AS,PK,PK-KP,Parachinar,yes,OPPC,PAJ,,,https://en.wikipedia.org/wiki/Parachinar_Airport,
32695,19312,KASL,small_airport,Harrison County Airport,32.5205001831,-94.307800293,357.0,,US,US-TX,Marshall,no,KASL,ASL,ASL,,https://en.wikipedia.org/wiki/Harrison_County_Airport_(Texas),
24518,3061,FZRF,medium_airport,Kalemie Airport,-5.8755598068237305,29.25,2569.0,AF,CD,CD-KA,,yes,FZRF,FMI,,,https://en.wikipedia.org/wiki/Kalemie_Airport,
66191,26656,VTPI,medium_airport,Takhli Airport,15.277299881,100.29599762,107.0,AS,TH,TH-60,,no,VTPI,TKH,,,https://en.wikipedia.org/wiki/Takhli_Royal_Thai_Air_Force_Base,
23298,29781,FLCP,small_airport,Chipata Airport,-13.558300018310549,32.58720016479492,3360.0,AF,ZM,ZM-03,Chipata,yes,FLCP,CIP,,,https://en.wikipedia.org/wiki/Chipata_Airport,
68668,27082,YNBR,medium_airport,Narrabri Airport,-30.3192005157,149.82699585,788.0,OC,AU,AU-NSW,Narrabri,yes,YNBR,NAA,,http://narrabri.cfm.predelegation.com/index.cfm?page_id=1249,https://en.wikipedia.org/wiki/Narrabri_Airport,
48442,43003,RU-0056,small_airport,Taksimo Airport,56.361668,114.93,2001.0,EU,RU,RU-BU,Taksimo,no,UIKG,,,,https://en.wikipedia.org/wiki/Taksimo_Airport,
40118,4710,MMGL,large_airport,Don Miguel Hidalgo Y Costilla International Airport,20.52179908752441,-103.31099700927734,5016.0,,MX,MX-JAL,Guadalajara,yes,MMGL,GDL,,,https://en.wikipedia.org/wiki/Don_Miguel_Hidalgo_y_Costilla_International_Airport,
68458,27039,YLST,medium_airport,Leinster Airport,-27.843299865722656,120.7030029296875,1631.0,OC,AU,AU-WA,,yes,YLST,LER,,,https://en.wikipedia.org/wiki/Leinster_Airport,
46149,16093,PAGN,seaplane_base,Angoon Seaplane Base,57.497097,-134.56722,,,US,US-AK,Angoon,yes,PAGN,AGN,AGN,,https://en.wikipedia.org/wiki/Angoon_Seaplane_Base,
46578,326032,PH-0116,closed,Naguilian Airfield,16.534863,120.396268,,AS,PH,PH-LUN,Naguilian,no,,,,,https://en.wikipedia.org/wiki/List_of_airports_in_the_Philippines#Military_airfields,Naguilian
